dt,team,player_name,espn_id,gsis_id,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank
2026-06-01T12:32:00Z,ARI,Josh Sweat,3693166,00-0034381,16,Base 4-3 D,11,Left Defensive End,LDE,1,1
2026-06-01T12:32:00Z,ARI,Roy Lopez,4040805,00-0036568,16,Base 4-3 D,24,Left Defensive Tackle,LDT,2,1
2026-06-01T12:32:00Z,ARI,Walter Nolen III,4685503,00-0040706,16,Base 4-3 D,25,Right Defensive Tackle,RDT,3,1
2026-06-01T12:32:00Z,ARI,Darius Robinson,4569480,00-0039854,16,Base 4-3 D,13,Right Defensive End,RDE,4,1
2026-06-01T12:32:00Z,ARI,Cody Simon,4429071,00-0040645,16,Base 4-3 D,26,Weakside Linebacker,WLB,5,1
2026-06-01T12:32:00Z,ARI,Mack Wilson Sr.,4040983,00-0035144,16,Base 4-3 D,27,Middle Linebacker,MLB,6,1
2026-06-01T12:32:00Z,ARI,Zaven Collins,4244606,00-0036933,16,Base 4-3 D,28,Strongside Linebacker,SLB,7,1
2026-06-01T12:32:00Z,ARI,Will Johnson,4685408,00-0040751,16,Base 4-3 D,18,Left Cornerback,LCB,8,1
2026-06-01T12:32:00Z,ARI,Budda Baker,3127287,00-0033890,16,Base 4-3 D,20,Strong Safety,SS,9,1
2026-06-01T12:32:00Z,ARI,Andrew Wingard,3918331,00-0035378,16,Base 4-3 D,21,Free Safety,FS,10,1
2026-06-01T12:32:00Z,ARI,Denzel Burke,4432668,00-0040195,16,Base 4-3 D,19,Right Cornerback,RCB,11,1
2026-06-01T12:32:00Z,ARI,Garrett Williams,4568506,00-0039007,16,Base 4-3 D,34,Nickel Back,NB,12,1
2026-06-01T12:32:00Z,ARI,Jordan Burch,4428996,00-0040137,16,Base 4-3 D,11,Left Defensive End,LDE,1,2
2026-06-01T12:32:00Z,ARI,PJ Mustipher,4361421,00-0038795,16,Base 4-3 D,24,Left Defensive Tackle,LDT,2,2
2026-06-01T12:32:00Z,ARI,Andrew Billings,3051775,00-0033066,16,Base 4-3 D,25,Right Defensive Tackle,RDT,3,2
2026-06-01T12:32:00Z,ARI,Dante Stills,4362225,00-0038623,16,Base 4-3 D,13,Right Defensive End,RDE,4,2
2026-06-01T12:32:00Z,ARI,Owen Pappoe,4567219,00-0038600,16,Base 4-3 D,26,Weakside Linebacker,WLB,5,2
2026-06-01T12:32:00Z,ARI,Jack Gibbens,4249739,00-0037596,16,Base 4-3 D,27,Middle Linebacker,MLB,6,2
2026-06-01T12:32:00Z,ARI,Baron Browning,4241987,00-0036995,16,Base 4-3 D,28,Strongside Linebacker,SLB,7,2
2026-06-01T12:32:00Z,ARI,Sean Murphy-Bunting,3932886,00-0035239,16,Base 4-3 D,18,Left Cornerback,LCB,8,2
2026-06-01T12:32:00Z,ARI,Kitan Crawford,4430821,00-0040230,16,Base 4-3 D,20,Strong Safety,SS,9,2
2026-06-01T12:32:00Z,ARI,Dadrion Taylor-Demerson,4428633,00-0039864,16,Base 4-3 D,21,Free Safety,FS,10,2
2026-06-01T12:32:00Z,ARI,Starling Thomas V,4363408,00-0038663,16,Base 4-3 D,19,Right Cornerback,RCB,11,2
2026-06-01T12:32:00Z,ARI,Kei'Trel Clark,4426923,00-0038984,16,Base 4-3 D,34,Nickel Back,NB,12,2
2026-06-01T12:32:00Z,ARI,Jonah Williams,4032481,00-0035944,16,Base 4-3 D,11,Left Defensive End,LDE,1,3
2026-06-01T12:32:00Z,ARI,Kaleb Proctor,5084514,PRO115871,16,Base 4-3 D,24,Left Defensive Tackle,LDT,2,3
2026-06-01T12:32:00Z,ARI,L.J. Collier,3116449,00-0035636,16,Base 4-3 D,25,Right Defensive Tackle,RDT,3,3
2026-06-01T12:32:00Z,ARI,Eku Leota,4361272,00-0038782,16,Base 4-3 D,13,Right Defensive End,RDE,4,3
2026-06-01T12:32:00Z,ARI,Karson Sharar,4709695,SHA308806,16,Base 4-3 D,26,Weakside Linebacker,WLB,5,3
2026-06-01T12:32:00Z,ARI,Austin Keys,4429185,00-0040501,16,Base 4-3 D,27,Middle Linebacker,MLB,6,3
2026-06-01T12:32:00Z,ARI,BJ Ojulari,4429111,00-0039155,16,Base 4-3 D,28,Strongside Linebacker,SLB,7,3
2026-06-01T12:32:00Z,ARI,Elijah Jones,4360203,00-0039823,16,Base 4-3 D,18,Left Cornerback,LCB,8,3
2026-06-01T12:32:00Z,ARI,Joey Blount,4240824,00-0037141,16,Base 4-3 D,21,Free Safety,FS,10,3
2026-06-01T12:32:00Z,ARI,Max Melton,4698113,00-0039807,16,Base 4-3 D,19,Right Cornerback,RCB,11,3
2026-06-01T12:32:00Z,ARI,Jaden Davis,4426435,00-0039416,16,Base 4-3 D,34,Nickel Back,NB,12,3
2026-06-01T12:32:00Z,ARI,Zachary Carter,4240619,00-0037804,16,Base 4-3 D,24,Left Defensive Tackle,LDT,2,4
2026-06-01T12:32:00Z,ARI,Damonic Williams,4685582,WIL206532,16,Base 4-3 D,25,Right Defensive Tackle,RDT,3,4
2026-06-01T12:32:00Z,ARI,Cameron Robertson,4900789,,16,Base 4-3 D,13,Right Defensive End,RDE,4,4
2026-06-01T12:32:00Z,ARI,Stephen Dix Jr.,4430883,,16,Base 4-3 D,27,Middle Linebacker,MLB,6,4
2026-06-01T12:32:00Z,ARI,Elliott Brown,4240826,00-0039956,16,Base 4-3 D,28,Strongside Linebacker,SLB,7,4
2026-06-01T12:32:00Z,ARI,Elijah Culp,4572261,CUL538111,16,Base 4-3 D,18,Left Cornerback,LCB,8,4
2026-06-01T12:32:00Z,ARI,Wydett Williams Jr.,5099542,WIL577958,16,Base 4-3 D,21,Free Safety,FS,10,4
2026-06-01T12:32:00Z,ARI,Kalen King,4431433,00-0039239,16,Base 4-3 D,34,Nickel Back,NB,12,4
2026-06-01T12:32:00Z,ARI,Chad Ryland,4363538,00-0038567,18,Special Teams,22,Place kicker,PK,1,1
2026-06-01T12:32:00Z,ARI,Blake Gillikin,4045180,00-0035859,18,Special Teams,23,Punter,P,2,1
2026-06-01T12:32:00Z,ARI,Blake Gillikin,4045180,00-0035859,18,Special Teams,79,Holder,H,3,1
2026-06-01T12:32:00Z,ARI,Devin Duvernay,4039050,00-0036331,18,Special Teams,76,Punt Returner,PR,4,1
2026-06-01T12:32:00Z,ARI,Devin Duvernay,4039050,00-0036331,18,Special Teams,77,Kick Returner,KR,5,1
2026-06-01T12:32:00Z,ARI,Casey Kreiter,17304,00-0030957,18,Special Teams,39,Long Snapper,LS,6,1
2026-06-01T12:32:00Z,ARI,Joshua Karty,4566192,00-0039750,18,Special Teams,22,Place kicker,PK,1,2
2026-06-01T12:32:00Z,ARI,Ihmir Smith-Marsette,4240573,00-0036635,18,Special Teams,76,Punt Returner,PR,4,2
2026-06-01T12:32:00Z,ARI,Bam Knight,4427728,00-0037157,18,Special Teams,77,Kick Returner,KR,5,2
2026-06-01T12:32:00Z,ARI,Jalen Brooks,4692835,00-0038640,18,Special Teams,77,Kick Returner,KR,5,3
2026-06-01T12:32:00Z,ARI,Xavier Weaver,4428811,00-0039521,18,Special Teams,77,Kick Returner,KR,5,4
2026-06-01T12:32:00Z,ARI,Ihmir Smith-Marsette,4240573,00-0036635,18,Special Teams,77,Kick Returner,KR,5,5
2026-06-01T12:32:00Z,ARI,Marvin Harrison Jr.,4432708,00-0039849,21,3WR 1TE,1,Wide Receiver,WR,1,1
2026-06-01T12:32:00Z,ARI,Paris Johnson Jr.,4428991,00-0038540,21,3WR 1TE,2,Left Tackle,LT,3,1
2026-06-01T12:32:00Z,ARI,Isaac Seumalo,2978247,00-0032954,21,3WR 1TE,3,Left Guard,LG,4,1
2026-06-01T12:32:00Z,ARI,Hjalte Froholdt,3886633,00-0035258,21,3WR 1TE,4,Center,C,5,1
2026-06-01T12:32:00Z,ARI,Chase Bisontis,4870596,BIS728645,21,3WR 1TE,5,Right Guard,RG,6,1
2026-06-01T12:32:00Z,ARI,Elijah Wilkinson,3059839,00-0033676,21,3WR 1TE,6,Right Tackle,RT,7,1
2026-06-01T12:32:00Z,ARI,Jacoby Brissett,2578570,00-0033119,21,3WR 1TE,8,Quarterback,QB,9,1
2026-06-01T12:32:00Z,ARI,Trey McBride,4361307,00-0037744,21,3WR 1TE,7,Tight End,TE,10,1
2026-06-01T12:32:00Z,ARI,Jeremiyah Love,4870808,LOV121782,21,3WR 1TE,9,Running Back,RB,11,1
2026-06-01T12:32:00Z,ARI,Michael Wilson,4360761,00-0038559,21,3WR 1TE,1,Wide Receiver,WR,2,2
2026-06-01T12:32:00Z,ARI,Josh Fryar,4429782,00-0040382,21,3WR 1TE,2,Left Tackle,LT,3,2
2026-06-01T12:32:00Z,ARI,Jon Gaines II,4367199,00-0038571,21,3WR 1TE,3,Left Guard,LG,4,2
2026-06-01T12:32:00Z,ARI,Ka'ena De Cambra,4875802,DEC076308,21,3WR 1TE,4,Center,C,5,2
2026-06-01T12:32:00Z,ARI,Isaiah Adams,5084939,00-0039808,21,3WR 1TE,5,Right Guard,RG,6,2
2026-06-01T12:32:00Z,ARI,Olisaemeka Udoh,3120502,00-0034994,21,3WR 1TE,6,Right Tackle,RT,7,2
2026-06-01T12:32:00Z,ARI,Gardner Minshew II,4038524,00-0035289,21,3WR 1TE,8,Quarterback,QB,9,2
2026-06-01T12:32:00Z,ARI,Tip Reiman,4696700,00-0039737,21,3WR 1TE,7,Tight End,TE,10,2
2026-06-01T12:32:00Z,ARI,Tyler Allgeier,4373626,00-0037263,21,3WR 1TE,9,Running Back,RB,11,2
2026-06-01T12:32:00Z,ARI,Kendrick Bourne,3045523,00-0033307,21,3WR 1TE,1,Wide Receiver,WR,8,3
2026-06-01T12:32:00Z,ARI,Christian Jones,4362103,00-0039382,21,3WR 1TE,2,Left Tackle,LT,3,3
2026-06-01T12:32:00Z,ARI,Hayden Conner,4431214,00-0040219,21,3WR 1TE,3,Left Guard,LG,4,3
2026-06-01T12:32:00Z,ARI,Matt Pryor,3055886,00-0034417,21,3WR 1TE,5,Right Guard,RG,6,3
2026-06-01T12:32:00Z,ARI,Jayden Williams,4709718,WIL353996,21,3WR 1TE,6,Right Tackle,RT,7,3
2026-06-01T12:32:00Z,ARI,Carson Beck,4430841,BEC122142,21,3WR 1TE,8,Quarterback,QB,9,3
2026-06-01T12:32:00Z,ARI,Elijah Higgins,4426844,00-0039041,21,3WR 1TE,7,Tight End,TE,10,3
2026-06-01T12:32:00Z,ARI,James Conner,3045147,00-0033553,21,3WR 1TE,9,Running Back,RB,11,3
2026-06-01T12:32:00Z,ARI,Xavier Weaver,4428811,00-0039521,21,3WR 1TE,1,Wide Receiver,WR,1,4
2026-06-01T12:32:00Z,ARI,Valentin Senn,4428458,00-0040765,21,3WR 1TE,2,Left Tackle,LT,3,4
2026-06-01T12:32:00Z,ARI,Demontrey Jacobs,4250935,00-0038792,21,3WR 1TE,6,Right Tackle,RT,7,4
2026-06-01T12:32:00Z,ARI,Kedon Slovis,4428512,00-0039577,21,3WR 1TE,8,Quarterback,QB,9,4
2026-06-01T12:32:00Z,ARI,Teagan Quitoriano,4374045,00-0037277,21,3WR 1TE,7,Tight End,TE,10,4
2026-06-01T12:32:00Z,ARI,Trey Benson,4429275,00-0039921,21,3WR 1TE,9,Running Back,RB,11,4
2026-06-01T12:32:00Z,ARI,Devin Duvernay,4039050,00-0036331,21,3WR 1TE,1,Wide Receiver,WR,2,5
2026-06-01T12:32:00Z,ARI,Jameson Geers,4588298,GEE574485,21,3WR 1TE,7,Tight End,TE,10,5
2026-06-01T12:32:00Z,ARI,Bam Knight,4427728,00-0037157,21,3WR 1TE,9,Running Back,RB,11,5
2026-06-01T12:32:00Z,ARI,Reggie Virgil,4869132,VIR271235,21,3WR 1TE,1,Wide Receiver,WR,8,6
2026-06-01T12:32:00Z,ARI,Rivaldo Fairweather,4605858,00-0040046,21,3WR 1TE,7,Tight End,TE,10,6
